claim_id,claim,evidence_type,benchmark_id,artifact,sample_size,metric,figure/table,allowed_wording,required_tiers
CLAIM-001,"BioNexus pairwise alignment reproduces reference Needleman-Wunsch/Smith-Waterman scores exactly for the same parameters",BENCHMARK,SEQ-PAIRWISE,bioai-platform/backend/tests/test_alignment_pairwise.py,n/a,exact score fidelity,,"alignment scores match the reference implementation",unit_tested+regression_gated
CLAIM-002,"The verification matrix tracks every scientific feature against an explicit verification tier; the claims ledger cannot exceed attained tiers",CODE,PLATFORM-EXPERIMENT,benchmark/VERIFICATION_MATRIX.json,n/a,ledger consistency,,,implemented
CLAIM-003,"All evidence tiers are machine-enforced: no claim wording may exceed the attained verification tier",CODE,PLATFORM-EXPERIMENT,benchmark/verify_matrix.py,n/a,enforcement,,,implemented
CLAIM-004,"UniProt fields agree with the pinned UniProtKB release in integration tests",BENCHMARK,ANN-UNIPROT,bioai-platform/backend/tests/test_uniprot_engine.py,1 (fixture),field fidelity,,"annotations reproduce the pinned release",unit_tested+integration_tested
CLAIM-005,"Function inference returns only InterPro2GO-evidenced GO terms and never fabricates probability-like confidence",CODE,ANN-FUNCTION-PREDICT,bioai-platform/backend/app/tools/function_predict.py,1,evidence presence,,,unit_tested
CLAIM-006,"EC-number inference is explicitly out of scope and no EC number is emitted for it",LIMITATION,ANN-FUNCTION-PREDICT,bioai-platform/backend/app/tools/function_predict.py,n/a,n/a,,,implemented
CLAIM-007,"Reactome p-values/FDR and g:Profiler g:SCS values are reported under source-specific names and never numerically equated",CODE,ANN-PATHWAY,bioai-platform/backend/app/services/pathway_enrichment.py,n/a,naming fidelity,,,implemented
CLAIM-008,"Docking runs preserve Vina parameters and logs under fixed seed in integration tests",BENCHMARK,DOCK-RUN,bioai-platform/backend/tests/test_docking_engine.py,n/a,parameter fidelity,,,unit_tested+integration_tested
CLAIM-009,"The 1IEP redocking failure is retained as an unresolved validation, not a pass",LIMITATION,DOCK-REDOCK,tmp_redock/redock_benchmark.py,1,pose RMSD,,"redocking benchmark has not yet been validated",implemented
CLAIM-010,"MD analysis outputs pass physical sanity and nonnegativity checks in CI",BENCHMARK,MD-ANALYSIS,bioai-platform/backend/tests/test_md_engine.py,n/a,physical invariants,,,unit_tested+integration_tested
CLAIM-011,"A completed MD trajectory is not automatically labelled converged; sampling status is reported explicitly",CODE,MD-ANALYSIS,bioai-platform/backend/app/engines/md_engine.py,n/a,status semantics,,,implemented
CLAIM-012,"NGS synthetic positive control reproduces a byte-identical normalized SNP result across direct and Nextflow execution",BENCHMARK,NGS-VARIANT,benchmark/ngs-portability/results,1,normalized result SHA-256,,"synthetic positive control reproduces the reference call",implemented+unit_tested+integration_tested
CLAIM-013,"NGS variant calling is not claimed as biologically accurate from synthetic fixtures alone",LIMITATION,NGS-VARIANT,benchmark/BBS2_PROTOCOL.md,n/a,n/a,,,implemented
CLAIM-014,"The Evidence Engine receives adversarial hallucination fixtures in CI and reports detection metrics",BENCHMARK,AI-EVIDENCE-ENGINE,benchmark/fixtures/ai/adversarial/,n/a,sensitivity/specificity,,,implemented+regression_gated
CLAIM-015,"AI numeric-fidelity evaluation is exact-token conservative: generated numbers must appear in supplied evidence",BENCHMARK,AI-INTERPRET,bioai-platform/backend/app/benchmarking/bbs2.py,n/a,numeric fiedlity,,,implemented+regression_gated
CLAIM-016,"AI explanations may omit or label insufficiently supported content; deterministic results remain authoritative",CODE,AI-INTERPRET,bioai-platform/backend/app/services/final_synthesis.py,n/a,claim policy,,,implemented
CLAIM-017,"Physicochemical descriptors are computed deterministically from RDKit and reported separately from predictive ADMET estimates",CODE,CHEM-DESCRIPTORS,bioai-platform/backend/app/tools/admet.py,n/a,result separation,,,implemented+unit_tested+integration_tested
CLAIM-018,"Rule-based drug-likeness and predictive ADMET heuristics are labelled as such and never presented as validated pharmacokinetics",LIMITATION,CHEM-ADMET-MODELS,bioai-platform/backend/app/tools/admet.py,n/a,labeling,,,implemented
CLAIM-019,"Experiments record git commit, software versions, environment, seed and parameters in a fingerprint; publication mode rejects missing provenance",BENCHMARK,PLATFORM-EXPERIMENT,bioai-platform/backend/tests/test_experiment_provenance.py,n/a,provenance completeness,,,unit_tested+regression_gated
CLAIM-020,"The reproducibility ledger is hash-chained and its integrity is verified in CI",BENCHMARK,PLATFORM-REPRO,bioai-platform/backend/tests/test_reproducibility.py,n/a,chain integrity,,,unit_tested+regression_gated
CLAIM-021,"Cross-tool capabilities (export, share, wizard, concurrency, failure visibility) are enumerated and contract-tested",BENCHMARK,PLATFORM-EXPORT,bioai-platform/backend/tests/test_cross_tool_contracts.py,n/a,capability coverage,,,unit_tested
CLAIM-022,"Every registered scientific tool has a row in the verification matrix and a claimed tier",CODE,PLATFORM-EXPERIMENT,benchmark/VERIFICATION_MATRIX.json,n/a,coverage,,,implemented
CLAIM-023,"Report exports carry the BioNexus version and commit so screenshots correspond to benchmarked code",CODE,PLATFORM-EXPORT,bioai-platform/backend/app/main.py,n/a,version stamping,,,implemented
CLAIM-024,"Benchmark results in CI are emitted as hash-addressed machine-readable artifacts",BENCHMARK,PLATFORM-EXPERIMENT,.github/workflows/scientific-integrity.yml,n/a,artifact addressing,,,implemented+regression_gated
CLAIM-025,"Failed benchmarks and warnings are preserved and reported rather than deleted",CODE,PLATFORM-EXPERIMENT,SCIENTIFIC_RESULTS_STANDARD.md,n/a,failure transparency,,,implemented
